Codigo de vía tratado,Literal completo del vial tratado,Clase de la via tratado,Particula de la via tratado,Nombre de la via tratado,Codigo de via que cruza o enlaza,Literal completo del vial que cruza,Clase de la via que cruza,Particula de la via que cruza,Nombre de la via que cruza,Coordenada X (Guia Urbana) cm (cruce),Coordenada Y (Guia Urbana) cm (cruce),Longitud en S R  WGS84 (cruce),Latitud en S R  WGS84 (cruce)
622200,GLORIETA DE QUEVEDO                                            ,GLORIETA                ,DE    ,QUEVEDO                                         ,114600,CALLE DE BRAVO MURILLO                                         ,CALLE                   ,DE    ,BRAVO MURILLO                                   ,44036691,447636051,3º42'15.74'' W  ,40º26'1.95'' N  
622200,GLORIETA DE QUEVEDO                                            ,GLORIETA                ,DE    ,QUEVEDO                                         ,261400,CALLE DE ELOY GONZALO                                          ,CALLE                   ,DE    ,ELOY GONZALO                                    ,44039893,447633512,3º42'14.37'' W  ,40º26'1.12'' N  
622200,GLORIETA DE QUEVEDO                                            ,GLORIETA                ,DE    ,QUEVEDO                                         ,313100,CALLE DE FUENCARRAL                                            ,CALLE                   ,DE    ,FUENCARRAL                                      ,44037693,447629950,3º42'15.3'' W   ,40º25'59.98'' N 
622200,GLORIETA DE QUEVEDO                                            ,GLORIETA                ,DE    ,QUEVEDO                                         ,661700,CALLE DE SAN BERNARDO                                          ,CALLE                   ,DE    ,SAN BERNARDO                                    ,44036159,447629901,3º42'15.93'' W  ,40º25'59.94'' N 
649700,GLORIETA DE RUBÉN DARÍO                                        ,GLORIETA                ,DE    ,RUBEN DARIO                                     ,31400,CALLE DE ALMAGRO                                               ,CALLE                   ,DE    ,ALMAGRO                                         ,44146895,447622791,3º41'28.93'' W  ,40º25'57.92'' N 
649700,GLORIETA DE RUBÉN DARÍO                                        ,GLORIETA                ,DE    ,RUBEN DARIO                                     ,256500,PASEO DE EDUARDO DATO                                          ,PASEO                   ,DE    ,EDUARDO DATO                                    ,44145119,447624843,3º41'29.7'' W   ,40º25'58.56'' N 
649700,GLORIETA DE RUBÉN DARÍO                                        ,GLORIETA                ,DE    ,RUBEN DARIO                                     ,505700,CALLE DE MIGUEL ÁNGEL                                          ,CALLE                   ,DE    ,MIGUEL ANGEL                                    ,44147092,447627177,3º41'28.86'' W  ,40º25'59.35'' N 
650500,GLORIETA DE RUFINO NOVALVOS                                    ,GLORIETA                ,DE    ,RUFINO NOVALVOS                                 ,304700,CALLE DE FRANCISCO GUZMÁN                                      ,CALLE                   ,DE    ,FRANCISCO GUZMAN                                ,43808317,447107219,3º43'50.82'' W  ,40º23'9.82'' N  
650500,GLORIETA DE RUFINO NOVALVOS                                    ,GLORIETA                ,DE    ,RUFINO NOVALVOS                                 ,412500,TRAVESÍA DE JUAN FRANCISCO                                     ,TRAVESIA                ,DE    ,JUAN FRANCISCO                                  ,43806773,447108419,3º43'51.46'' W  ,40º23'10.21'' N 
650500,GLORIETA DE RUFINO NOVALVOS                                    ,GLORIETA                ,DE    ,RUFINO NOVALVOS                                 ,446300,CALLE DE LUIS GÓMEZ                                            ,CALLE                   ,DE    ,LUIS GOMEZ                                      ,43806445,447106986,3º43'51.58'' W  ,40º23'9.76'' N  
